capsule_id,rep_idx,question,gold_answer,submitted_answer,no_answer,exact_match
capsule-5507257,0,Report the test accuracy of 'mouth talking'.,96.12499135323452,95.19554267100158,False,True
capsule-3449234,0,"fig From the figure containing the standard deviation for the Essen data, report the name of the model with the highest standard deviation between time 0 and 10.",SN,SN,False,True
capsule-8807709,0,"fig For the third subplot in the visualization of the experiments, report the color of the line with the greatest number of nodes at epoch 15.",blue,blue,False,True
capsule-8807709,0,fig Report the name of the first subplot in the visualization of the experiments.,ill,ill.s,False,False
capsule-6049678,0,Report the f1 score for the Musk1+ dataset with the svm classifier.,87.516,86.693,False,True
capsule-6049678,0,Report the f1 score for the Musk1+ dataset with the j48 classifier.,79.813,66.587,False,False
capsule-2804717,0,"fig From the Network Density plot (Figure 4), report the label for the red line (ignore spaces).",TS#1,PandemicH1N12009,False,False
capsule-3418007,0,Report the F1 score for statistical general only.,0.7536528881857651,,True,False
capsule-3418007,0,fig Report the proposed model's AUC from the ROC curves figure. Ignore the confidence interval.,0.98,,True,False
capsule-1624349,0,Report the best accuracy of the hybrid filter wrapper strategy.,0.9506166187739464,0.9517631566112276,False,True
capsule-1624349,0,fig Report the name of the feature with the highest I-Gain.,RAWRED-MEAN,RAWRED-MEAN,False,True
capsule-9832712,0,"fig From Figure 2 in the cleaned results, report the percentage of 'Not Available' analysis scripts for Pre-RC (2008-09)",100,100.0,False,True
capsule-9832712,0,"fig From Table 1 in the cleaned results, report the number of Included Articles After.OS",255,252,False,False
capsule-2816027,0,"fig For CTCF Signature Enrichment, report the name of the group with the highest median GSVA score.",MCF7_D538G,MCF7_Y537S,False,False
capsule-3821950,0,"fig Report the name of the material with the highest Depth Below Surface at 10,000 calibrated years BP.",charcoal,Unavailable: requires ktc11 R package functions and calibrated radiocarbon ages not reproducible with provided tools.,False,False
capsule-3821950,0,fig Report the name of the material with the highest mass (g) and 5000 years cal. BP.,ceramics,"Unavailable: requires ktc11 R package functions (e.g., plot_ceramic_and_stone_artefact_mass) and calibrated age–mass relationships not reproducible here.",False,False
capsule-9054015,0,"fig Report the percentage sensitivity for cancers A and B that has the highest number of cancers detected per 1,000 women for a 1.0% prevalance of cancer B.",90,90.0,False,True
capsule-3301293,0,Report the test RMSE of the model.,26.21204,,True,False
capsule-1724988,0,fig Report the task name with the higher median walking speed (m/s).,Walk,Walk,False,True
capsule-1724988,0,fig Report the task name with the higher median straightness ratio.,Search,Search,False,True
capsule-4299879,0,"fig From the figure measuring homicide rate per 100k in the last 12 months, report the name of the sample with the lower homicide rate per 100k in 2000.",Colombia,UNKNOWN_RSCRIPT_NOT_AVAILABLE,False,False
capsule-0851068,0,Report the final AUC after training.,0.9157952669235003,ERROR: demo.sh failed because dataset directory /data/covid/val is missing; AUC cannot be computed.,False,False
capsule-1394704,0,fig Report the name of the method with the higher R0.,ML,ML,False,True
